name,phone,latitude2,longitude2,addd
VELAZQUEZ LIQUOR STORE,(787) 876-6541,18.2678,-65.8714,CARR  186 KM 7.9 BO  CUBUY
SUPERMERCADO ECONO,(787) 872-4033,18.5008,-67.0261,4  BARBOSA
SUPERMERCADO CAMPO ALEGRE,(787) 898-9429,18.4069,-66.7775,CARR  130 KM 11.6 BO CAMPO ALEGRE
LEBRON ESSO SERVICE STATION,(787) 830-1325,18.4927,-67.0066,CARR  113 KM 2.3
COOP-GAS LA CANDELARIA INC.,(787) 825-2260,18.0729,-66.3619,CARR  14 KM 32.5
COLMADO MELENDEZ,(787) 738-3079,18.1152,-66.1583,BO POLVORIN 121 CALLE EVARISTO VAZQUEZ
FARMACIA LAUREL,(787) 726-0295,18.4514,-66.0403,PUNTA LAS MARIAS 2428 CALLE LOIZA
FARMACIA SERRANO INC.,(787) 834-3400,18.2017,-67.135,169  MENDEZ VIGO ESTE
FARMACIA NUEVA,(787) 893-2440,18.0485,-65.878,37  CALLE  CRISTOBAL COLON
FARMACIA BORINQUEN,(787) 734-5591,18.2291,-65.9216,CALLE DR BARRERAS ESQ  CORCHADO
SUPER FARMACIA FELICIANO # 1,(787) 893-2280,18.0498,-65.8791,5  CRISTOBAL COLON
COLMADO DIAZ,(787) 799-4631,18.3626,-66.2161,TOA ALTA HEIGHTS AB 11 CALLE 24
FARMACIA LAGO VISTA  INC.,(787) 784-4585,18.4543,-66.1869,CUARTA SECCION LEVTTOWN 3385 AVE BOULEVARD
HATILLO CASH & CARRY INC.,(787) 898-5840,18.4859,-66.8188,CARR 2 KM 87.1
FARMACIA SAN MARCOS,(787) 898-2525,18.4868,-66.8252,135  CALLE  VIDAL FELIX
Supermercado Rosa,(787) 898-6361,18.47587,-66.79472,Carr #2 KM84.0 Sector Pedro Rosa Bo. Carrizales
COMERCIAL FREDDY,(787) 871-9495,18.3382,-66.4688,BO JAGUAS 6 CALLE CEMENTERIO
FARMACIA GLADYS INC. #1,(787) 784-0716,18.4317,-66.1857,BO SABANA SECA 112 B  AVE RAMON RIOS ROMAN
TIENDA HOLA,(787) 894-3535,18.2656,-66.6981,4  AVE  ESTEVES
SUPERMERCADO LOPEZ,(787) 838-2727,18.1851,-66.981,URB SAN JUAN BAUTISTA 1 CALLE B
LA CAOBA INC.,(787) 781-4515,18.4038,-66.0855,CAPARRA TERRACE 1234 AVE CENTRAL
FARMACIA  REPARTO,(787) 892-5264,18.085,-67.0586,83 CALLE LUNA ABAJO
FARMACIA VILLA REAL,(787) 858-1336,18.449,-66.386,URB VILLA REAL C 2 CALLE 2
FARMACIA SAN JUSTO INC.,(787) 755-1085,18.3708,-66.0144,EXPRESO TRUJILLO ALTO CARR 181 INT 848 CENTRO 4
CAFETERIA PETER CABRERA,(787) 892-1869,18.1034,-67.0546,CARR 2 KM 171.6
SUPERMERCADO  ROBLES INC.,(787) 735-8884,18.0822,-66.1529,A 66 REPARTO ROBLES
LOS ANGELES SHELL SERVICE,(787) 791-1180,18.4316,-66.0108,AVE BALDORIOTY ESQ AVE LAS ROS URB  LOS ANGELES
PUERTO RICO DRUG CO. INC.,(787) 721-3538,18.4656,-66.1165,157 CALLE SAN FRANCISCO VIEJO SAN JUAN
FARMACIA GLAMAR,(787) 871-4170,18.4841,-66.4041,18 CALLE PALMER
PROVIDENCIA LIQUOR STORE,(787) 727-3203,18.4447,-66.0502,2125 AVE EDUARDO CONDE VILLA PALMERAS INT CALLE PROVIDENCIA
FARMACIA SAN JOSE,(787) 735-2401,18.1399,-66.2665,59 SAN JOSE
El Buen Café,(787) 898-3495,18.48848,-66.78968,Carr #2 Km 8.4 Bo Carrizales
COLMADO BAR EL CAGUENO,(787) 732-2600,18.2563,-66.0965,CARR 156 KM 51 HM  9
FARMACIA ELENA,(787) 837-2186,18.0523,-66.5049,102 B  CALLE COMERCIO
SUPERETTE CRIADO,(787) 847-0602,18.1307,-66.4783,CARR  151 KM 1.8 BO  EL NUEVO PINO
FARMACIA SAN JOSE,(787) 899-1693,18.0486,-67.0591,13 CALLE 65 INFANTERIA
CAFETERIA LA NUEVA SOMBRA,(787) 262-1091,18.4746,-66.8651,CARR  2 KM 92.5 BO MEMBRILLO
THE CLUBHOUSE LIQUOR STORE,(787) 780-0908,18.403,-66.178,CARR VIREJA 864 HATO TEJAS
FARMACIA LUMEN MENDEZ,(787) 897-2050,18.2947,-66.878,10 CALLE PEDRO ALBIZU CAMPOS
COLMADO MARTINEZ,(787) 755-5260,18.3741,-66.0018,SAINT JUST 127 CALLE 2
EL MESON MINI MARKET,(787) 744-6668,18.2125,-66.0563,CALLE 1 K 4 VILLA DEL REY 4TA SECC
COLMADO EL MANGO,(787) 797-8483,18.3552,-66.1991,CARR  829 KM 2.8 PARCELAS VAN SCOY BO BUENA VISTA
PANADERIA REPOST. LA VIEQUENSE,(787) 781-5388,18.3879,-66.0947,URB ALTAMESA 1327 AVE SAN ALFONSO
COLMADO EL REGRESO,(787) 857-5475,18.185,-66.2744,CARR 156 KM 20.5 BO  QUEBRADA GRANDE
FARMACIA DENIRKA,(787) 863-7788,18.3302,-65.6513,305 AVE GENERAL VALERO
GULF PLAZA INC.,(787) 728-3975,18.4468,-66.0522,AVE  BALDORIOTY ESQ  DEGETAU SANTURCE
COLMADO EL CAFETAL,(787) 856-5003,18.0327,-66.8722,URB VILLA CAFETAL H9 CALLE 8
EL KIOSCO,(787) 751-6923,18.4096,-66.0576,CENTRO COMERCIAL EL MONTE MALL BASEMENT
ESTACION SHELL-M&R MAGIC CAR WASH INC.,(787) 767-3082,18.3788,-66.0509,AVE  SAN CLAUDIO
"REGIS SERVICENTER,  INC.",(787) 767-3082,18.415,-66.0615,AVE  DOMENECH ESQ  HOSTOS CALLE BALDRICH  HATO REY
COLMADO NIEVES,(787) 870-3727,18.3577,-66.2485,CARR  804 CRUCE CARR  824 KM 0.1 BO  GALATEO
FELIX MUNIZ INC,(787) 743-3100,18.2325,-66.0348,16 CALLE GAUTIER BENITEZ
FARMACIA JARDINES CARIBE,(787) 843-8023,18.0053,-66.3851,URB JARDINES DEL CARIBE 111 CALLE 17
HATILLO SUPERMARKET,(787) 898-6979,18.4882,-66.8191,CARR  119 KM 1.1 AVE  DR. SUSO BO  PUEBLO
COLMADO LAS ANTILLAS,(787) 824-3080,17.9803,-66.294,URB LA ANTILLANA B32 CALLE PUERTO RICO
COMERIO SERVICE STATION,(787) 875-2370,18.2193,-66.2256,55 CALLE GEORGETTI
PICO RICO BBQ (CPML INC),(787) 784-2840,18.446,-66.176,2714 AVE BOULEVARD LEVITTOWN
FARMACIA MARTIN,(787) 892-1122,18.082,-67.0424,22 CALLE RUIZ BELVIS
SUPER FARMACIA LIBERTAD INC.,(787) 863-0810,18.3283,-65.6516,206 CALLE MUNOZ RIVERA
COLMADO LOS HERMANOS LEON,(787) 837-0332,18.0516,-66.4966,BO TIJERAS 189 LAS FLORES CARR 14
ECONO R & M INC.,(787) 764-6440,18.3981,-66.0317,URB LOS MAESTROS 458 AVE LUIS MUNOZ SOUFFRONT
COLMADO AGUIRRE,(787) 866-1927,17.9797,-66.1106,AVE  LOS VETERANOS PLAZA DEL MERCADO
GARAJE Y SUPERMERCADO IBO,(787) 892-4473,18.0782,-66.9981,CARR 102 KM 36.6 BO MINILLA
BAR RESTAURANT PLAZA,(787) 871-0430,18.3364,-66.4686,PLAZA DE RECREO 10 CALLE PALMER
SUPERMERCADO ECONO MORALES L,(787) 786-7030,18.4063,-66.1693,AVE  NORTH MAIN 1  BLQ  51 SIERRA BAYAMON
PAN. REPOST. DON PEDRO INC,(787) 718-5652,18.3799,-65.829,1 CALLE PIMENTEL ESQ SAN ANTONIO
REYES SERVICE STATION,(787) 797-6948,18.3466,-66.1892,CARR 167 KM 15.9 BUENA VISTA
PANADERIA & REPOST VALLE TOLIMA,(787) 744-6283,18.2309,-66.0496,URB VALLE TOLIMA AVE REGIMIENTO DE INFANTERIA # 295
ALMACENES TOPEKA  INC.,(787) 727-5530,18.4513,-66.0546,1969 CALLE LOIZA
FAIRVIEW SERVICE STATION,(787) 283-6840,18.362,-66.0305,CARR  845 KM  3.3 CTRO  COM  FAIR VIEW
COLMADO LAS DELICIAS INC.,(787) 743-6820,18.2285,-66.0306,7 CALLE  GEORGETTI
SUPERMERCADO RODRIGUEZ,(787) 873-4770,18.0775,-66.9598,58 CALLE FRANCISCO QUINONEZ
COLMADO EL RETIRO,(787) 882-7117,18.4515,-67.1027,CARR 2 KM 120 HM 4 (INTERIOR) BO  CAIMITO ALTO
COLMADO EL BORICUA,(787) 730-2116,18.3612,-66.2162,URB TOA ALTA HEIGHTS AJ 31 CALLE 24
FARMACIA AGUADA,(787) 868-6240,18.3687,-67.1602,CARR 417 KM 3.0 BO  MALPASO
FARMACIA MEDINA INC.,(787) 769-0324,18.3886,-65.9579,URB VILLA CAROLINA CALLE 24 BLOQUE 11 # 19
"ALVERIO SERVICE STATION, INC.",(787) 743-2201,18.2398,-66.0174,CARR. 189 KM 2 SALIDA CAGUAS A GURABO
FARMACIA PLAZA #6,(787) 780-1740,18.4004,-66.1569,CANTON MALL PLAZA CALLE BETANCES
JOBOS PLACE,(787) 843-2481,17.997611,-66.633496,BO. PAMPANO #238
TONY'S CAFE,(787) 879-0275,18.4715,-66.7223,DR. MANUEL ZENO GANDIA #150
FARMACIA CANEY INC,(787) 755-7845,18.3632,-66.0225,CALLE ARACIBO #A9 URB. VILLAS DE CANEY
COLMADO MEDINA,(787) 733-1920,18.1557,-65.8618,CARR 914 INT 921 KM 3.3 BO. TEJAS
CAFETERIA LA 66,(787) 825-2972,18.0831,-66.3308,CARR. 14 KM 36.4 BO. CUYON SECTOR GALARZAS
SUPERMERCADO DONA ANA,(787) 764-6060,18.4031,-66.0545,102 AVE. UNIVERSIDAD  RIO PIEDRAS
FARMACIA BIMARIE,(787) 862-2244,18.2133,-66.264,CARR.  633 KM 4.7 BO. BARAHONA
PANADERIA LA OROCOVENA,(787) 867-2320,18.2256,-66.3912,CARR. PEDRO ARROYO #29 SALIDA BARRANQUITAS
JHR CASH CHECK,(787) 744-2030,18.2338,-66.0371,C/ PADIAL #52
COLMADO MORALES,(787) 739-8165,18.1759,-66.1597,C/PRAXEDES SANTIAGO # 49 ESQ. MUNOZ BARRIO
SUPERMERCADO LAS CAMPANAS,(787) 897-4391,18.3343,-66.8489,CARR. 454 KM 4.3 BZN. 212
SUPERMERCADO ALCOBA INC.,(787) 859-2992,18.3375,-66.3052,CARR. 164 KM 16.5 BO. CIBUCO 3
PALOS BLANCOS LIQUOR STORE,(787) 859-1895,18.3187,-66.3025,CARR. 803 KM 1.8 BO. PALOS BLANCOS
SYLVIA MINI MARKET,(787) 859-2278,18.3445,-66.3257,CARR. 818 KM 0.8 BO. CIBUCO
VELEZ SUPER PR STATION,(787) 785-5735,18.3989,-66.1521,CALLE SANTA CRUZ #25
FARMACIA LA CARIDAD,(787) 822-2749,18.372,-66.5646,CARR. 140 KM 56 BO. LA VAZQUEZ
PANADERIA & REPOS. MARIO,(787) 862-2116,18.3264,-66.4062,AVE. BUENA VISTA CARR. 155 ENT. PUEBLO #17
G.R. CASH & CARRY,(787) 898-7833,18.3685,-66.7947,CARR. 134 KM 28 BO. BAYANEY
PANADERIA JARDINES,(787) 855-1959,18.4482,-66.405,CALLE C-S 37 CALLE JARDIN DE ORQUIDEAS URB JARDINES DE VEGA
SUPERMERCADO MUNOZ,(787) 868-5049,18.3373,-67.2078,CARR. 414 RAMAL 4412 KM 1.8 BO. CRUCES
SUCESION  ANDRES MENDEZ,(787) 896-1970,18.3668,-66.9519,CARR. 447 KM 1.9 BO. AIBONITO GUERRERO
PANADERIA LA ROSA,(787) 891-6161,18.4314,-67.1219,CARR. 443 KM 1 HM 2 BO.  CAIMITAL BAJOS
VALLE ESCONDIDO SERVICE STA.,(787) 731-7222,18.1838,-66.0612,CARR. 834 KM 5.5
BUENA VISTA MINIMARKET,(787) 839-2758,17.9956,-66.0478,CARR. 755 KM.0 HM.8 BDA. BUENA VISTA
FARMACIA SAN RAFAEL,(787) 895-2121,18.4739,-66.9384,SAN JUSTO #165
ALGARROBO SHELL STATION,(787) 834-0705,18.2409,-67.1602,CARR. #2  KM  149.5 #2768 BO. ALGARROBO
FARMACIA SAN ARCANGEL,(787) 744-3400,18.2366,-66.035,CALLE MUNOZ RIVERA #2
LA FRONTERA MINI MARKET,(787) 791-4935,18.4294,-66.0084,CALLE ARIES # 35 URB. LOS ANGELES
COLMADO MARTINEZ,(787) 821-3371,17.9778,-66.8947,CALLE 3 ESQ  CALLE 9 BO. LA LUNA
PANADERIA Y RESPOTERIA NIXZALIZ,(787) 896-9339,18.3495,-67.0403,CARR. 423 KM 1.7 BO. HATO ARRIBA
COLMADO DETRES,(787) 821-2173,17.9727,-66.9314,CALLE SEGUNDA LA HOYA #62 ENSENADA
COMERCIAL LAS TRES T INC.,(787) 738-7806,18.0948,-66.2084,CARR. #1 KM 67.0 CAYEY A SALIN BO. PASTO VIEJO
COLMADO EL VENCEDOR,(787) 871-3573,18.2656,-66.4832,CARR. 615 KM 8.5 BO. POZAS
LA BORIQUENA,(787) 744-3829,18.228,-66.0533,AVE TURABO ESQ. DEGETAU CALLE 19 Z -1 # 13 URB TURABO GARDEN
ESDRAS LIQUOR STORE,(787) 841-4502,18.0133,-66.3828,CARR. 123 EDIFICIO 20 KM 8.7 BO. MAGUEYES
FARMACIA SAN JOSE #2,(787) 794-3629,18.4206,-66.2394,CARR. PRINCIPAL 865 KM. 1.3 BO. CAMPANILLAS
R&R CASH & CARRY,(787) 826-1994,18.2833,-67.139,CALLE VICTORIA #49
SUPERETTE TORO,(787) 841-4446,17.993795,-66.623132,CALLE 3 #187 EL TUQUE
LA BARRITA DE VILO,(787) 868-4677,18.3774,-67.224,CARR. 115 KM. 19.4 BO RIO GRANDE
FARMACIA SANTA ANA II DIAGO  CORP.,(787) 746-7757,18.2164,-66.0591,TURABO GARDENS 5TA SEC  CALLE 2 ESQ CALLE 31
FARMACIA PLAZA 2,(787) 785-3500,18.3862,-66.164,CARR 167 MARGINAL D-32 EXT. FOREST HILLS
ARNALDOS MINI MARQUET,(787) 733-3480,18.1814,-65.8487,CARR. 926 KM 2 BO. COLLORES
COLMADO SOTO,(787) 842-1216,18.0116,-66.3638,AVE. BETANCES ESQ. CRISTOBAL COLON # 33
COL. ESTRELLA DEL NORTE,(787) 790-9678,18.221,-66.0633,BO. FRAILES LLANOS AVE. LOPATEGUI SECTOR HUERTAS
CAFETERIA ACUA-CAN,(787) 732-4815,18.2299,-66.176,CARR. 782 KM 9 HM 3 BO. NARANJO
CORTES SUPER,#N/A,18.473,-67.0045,CARR #2 KM 109.6 BO. COTTO
PANADERIA Y REPOST FELICIANO,(787) 877-4308,18.3437,-67.1112,CARR. 4419 KM 1.5 BO. NARANJO
"TOA AUTO SERVICE, CORP.",(787) 785-7820,18.3655,-66.2268,CARR.861 INT CARR. 827 KM 8.0 BO. PINAS
MG CASH & CARRY,(787) 894-9431,18.2523,-66.6787,CARR. 111 KM 3.9 VIVI ABAJO
COLMADO LA VICTORIA DEL CACIQUE,(787) 853-2341,17.9786,-66.2237,EXT. COQUI I-139 CALLE MOZAMBIQUE AGUIRRE
COLMADO NEGRON,(787) 862-1172,18.3108,-66.3954,CARR. 618 KM. 1 H7 BO. CUCHILLAS
RESTAURANTE EL RANCHO,(787) 837-0802,18.0529,-66.531,CARR 14 KM 11.4 BO JACAGUAS
CAFETERIA FAMILIAR,(787) 831-2383,18.2048,-67.1362,CALLE  DR. LASSISSE #150 BO. PARIS
RODRIGUEZ AUTO ACCESORIES,(787) 898-1312,18.472,-66.8534,CARR. 119 KM 7.1 BP PUENTE BUZON 1125
CARROUSEL BAKERY INC.,(787) 879-0667,18.4794,-66.6909,CALLE 1 #95 SEC. JAREALITOS BO. ISLOTE
COLMADO JUAN ASENCIO,(787) 732-9188,18.2595,-66.1838,CARR. #781 KM 2.4 BO. JUAN ASENCIO
COLMADO ROMAN,(787) 844-3061,18.0217,-66.3724,NUEVO MAMEYES SOLAR 4
COLMADO PLAZA SAN MIGUEL,(787) 731-0889,18.327,-66.0769,CARR. 842 KM 4 H 3 BO. CAIMITO ALTO
COLMADO MAYRA,(787) 743-2770,18.228,-66.0401,CALLE LUIS LOZADA # 290 URB. BROOKLYN
LECHONERA EL PANAPEN,(787) 851-3487,18.1222,-67.161,CARR. 100 KM 3 HM 5 INT 311 SECTOR SABANA ALTA
RUBEN SUPER MARKET,(787) 830-1060,18.4438,-67.0627,BARRIO ACEITUNA  CARR 464 KM 3.4 BUZON 9330
FARMACIA IDELISSE,(787) 730-3508,18.3049,-66.2062,CARR. 167 KM. 9.5 BO. DAJAOS
TAVERA SELF SERVICE,(787) 858-2604,18.4433,-66.3818,CALLE 10 J 17 BRASILIA
FACILIDAD COMERCIAL #1,(787) 250-8337,18.4235,-66.0643,ROOM 780 FEDERAL BUILDING CHARDON STREET
BEEMER'S PUB & GRILL,(787) 757-0522,18.3757,-65.9338,65 INFANTERIA KM 13.0 MARGINAL CANOVANILLA
CAFETERIA MUÑOZ,() -,18.0499,-66.5056,MUNIZ RIVERA  ESQ. BARCELO # 52
COLMADO LOS BATEYES,(787) 894-7217,18.2956,-66.7783,CARR.111 KM 12.4 BO. ANGELES
COLMADO NEGRON,(787) 878-4296,18.474,-66.7214,CALLE MANUEL PEREZ AVILES #305
HILL SIDE VIDEO RECORD SHOP,(787) 753-0021,18.3998,-66.0454,CALLE PARQUE 214 Sector Capetillo
COLMADO LA FAMILIA,(787) 862-1325,18.316,-66.3907,CARR 159 INT 619 KM 0.5 BO. CUCHILLAS
PANADERIA JARDINES,(787) 834-0014,18.1805,-67.1464,CALLE RAMON EMETERIO BETANCES  500 SUR
BROADWAY LIQUOR STORE,(787) 885-1139,18.2652,-65.6482,SEVERIANO FUENTE FRIAS # 2
CENTRO AUTOMOTRIZ PAPUN,(787) 877-2440,18.3939,-67.1113,CALLE BARBOSA # 252
EL CABO,(787) 854-1640,18.4286,-66.4932,MCKINLEY # 58
COLMADO MERCADO,(787) 746-5147,18.2182,-66.0155,CALLE KENNEDY 153 URB. JOSE MERCADO
SUPERMERCADO ROGELIO CESAR TORO,(787) 899-3546,18.0457,-67.071,C/UNION #152
FARMACIA SAN JOSE,(787) 796-1120,18.4586,-66.2603,CALLE MENDEZ VIGO 253
FARMACIA RECETAS Y MAS INC,(787) 784-1357,18.4287,-66.1796,CARR 866 KM 3.4 SABANA SECA
COLMADO MENDOZA,(787) 868-8082,18.3808,-67.1912,301CALLE COLON
COLMADO LECHUGA,(787) 898-5717,18.451,-66.8032,CARR 130 KM 4.8 BO NARANJITO
GIUSTI AUTO PARTS,(787) 844-1225,18.0045,-66.3724,248 CALLE VILLA
PAJUIL LIQUOR STORE,(787) 898-8899,18.4285,-66.7873,CARR  130 INT  490 KM 8.5 BO  CAMPO ALEGRE
FARMACIA IRIZARRY,(787) 851-1270,18.0872,-67.1466,38 BARBOSA
FARMACIA LOS ANGELES  INC.,(787) 893-2222,18.0493,-65.8793,18 CALLE CRISTOBAL COLON
GULF PLAZA INC.,(787) 753-0807,18.4133,-66.0685,AVE DOMENECH ESQ CALLE SERGIO CUEVAS BUSTAMANTES
FARMACIA SANTA TERESITA,(787) 786-8692,18.357,-66.1558,URB SANTA JUANITA DC 2 AVE MINILLAS SEC 10
FARMACIA SAN JOSE,(787) 870-1450,18.3881,-66.2498,25 LUIS MUNOZ RIVERA
CAFETERIA EL TRAPICHE,(787) 816-4173,18.4368,-66.7132,CARR  10 KM 83.2
FLORIDA BAKERY  INC.,(787) 843-3939,18.0031,-66.355,CENTRO COMERCIAL PLAZA NUEVO M PONCE BY-PASS Y URB MERCEDITA
COLMADO BAR CARVAJAL,(787) 757-0713,18.3714,-65.9309,CARR  857 KM 0.6 BO  CANOVANILLAS
EL GUIA LIQUOR STORE,(787) 752-2550,18.4065,-65.9797,VALLE ARRIBA HEIGHTS CALLE 23 DC 213
LA PENINSULA BAKER'S OF P.R.,(787) 751-3040,18.3944,-66.0374,EXT  SAN AGUSTIN 408 65TH INFANTERIA
BAKERS BAKERY,(787) 764-0726,18.3984,-66.0515,13 CALLE ARZUAGA ESQ BRAUMBAUGH
EL HUMITO DE MARY Y MIRO,(787) 876-8732,18.3116,-65.8647,CARR  957 RAMAL 9957 KM 5.4 CIENAGA ALTA
COLMADO EL JIBARITO,(787) 786-4542,18.3902,-66.1836,E 15 CALLE J SANTA ELENA
COLMADO TOAVILLE,(787) 794-1950,18.4455,-66.2426,TOAVILLE B 1 K2 CARR 867 KM 7.0
COMERCIAL ESPINO INC. # 1,(787) 736-7274,18.11453,-65.98975,CARR 181 KM 13.0 BO ESPINOS
COLMADO CASA BLANCA,(787) 798-0908,18.3788,-66.0943,ALTAMESA 1480 CALLE SAN IGNACIO
"VERONICAS BAKERYS, INC.",(787) 854-0998,18.4359,-66.4646,CARR 2 KM.46.7 BO COTTO NORTE
CAFETERIA ANTONIO COTTE MELENDEZ,(787) 899-1526,18.0396,-67.0083,CARR  117 KM  5.7 BO LAJAS ARRIBA
COLMADO OJEDA,(787) 862-0273,18.3438,-66.4238,EXT TORRENCILLAS CALLE 5 # 444
LA COLECTIVA GULF STATION,(787) 835-0253,18.0496,-66.7807,CARR  132 KM 3.6
COLMADO CHAPARRO,(787) 868-6099,18.3445,-67.1757,CARR 416 KM 5.2 BO  LAGUNAS
FARMACIA CENTRAL ( MARV  INC. ),(787) 879-5284,18.4722,-66.7189,211 DE DIEGO
EL MARINO,(787) 879-5482,18.4624,-66.7335,195 AVE. CONSTITUCION BO. COTO
SUPERMERCADO EL FARO  INC.,(787) 752-4083,18.4025,-65.9944,CALLE ALEJO CRUZADO ESQ  CARMEN HERNANDEZ
FARMACIA LA MONSERRATE,(787) 824-2220,17.9778,-66.2981,19 MUNOZ RIVERA
FARMACIA EXPRESO,(787) 871-3216,18.3637,-66.4743,CARR 149  INTER 6633  KM 9.8 BO HATO VIEJO SECT  CAMPAMENTO
COLMADO CARNICERIA DIAZ,(787) 760-7816,18.3399,-66.0348,CARR  844 KM  4.5 CUPEY BAJO CAMINO EL MUDO
SUPERMERCADO ESTELA,(787) 823-5612,18.3228,-67.2443,COMUNIDAD ESTELA CALLE 2 # 167
VICTOR BBQ,(787) 875-9719,18.2477,-66.2254,CARR  780 KM  3 HM  3 BO DONA ELENA
REST. EL BORICUA,(787) 829-1956,18.1726,-66.7285,CARR  5518 SECTOR EL DESVIO
PAPUN SERVICE STATION,(787) 877-2440,18.3674,-67.0708,CARR  420 KM  1.0 BO  VOLADORAS
FARMACIA SANTA RITA,(787) 883-4445,18.4131,-66.3138,CARR  2 KM  29.6
SANTA MONICA SHELL,(787) 798-2591,18.3854,-66.1794,CALLE PAJARO ESQ AVE SANTA MONICA CARR 861 CALLE 12
COL. BAR GOYTIA,(787) 737-8216,18.2558,-65.9683,CARR  181 A- 12 A EXTENSION SAN JOSE
COLMADO EL BAMBUCO,(787) 836-1292,18.0716,-66.728,CARR  386 KM  1.1 BARRIO JAGUAS
PANADERIA LA TAHONA,(787) 848-5880,18.0045,-66.3725,3196  AVE  ROOSEVELT
CAFETERIA ALVARADO,(787) 840-5376,18.0053,-66.3759,URB  LAS DELICIAS  L 9 CALLE CEMENTERIO ESQ VICTORIA
SUPER STATION SELF SERVICE,(787) 857-7268,18.2287,-66.2895,CARR 152 KM  6.6 BO  QUEBRADILLAS
REY MINI MARKET,(787) 738-4785,18.1062,-66.1644,208 AVE  FERNANDEZ GARCIA
FARMACIA PABON,(787) 864-5880,17.9882,-66.114,89 CALLE  CALIMANO  NORTE
SUPER FCA. DEL PUEBLO,(787) 732-7881,18.2573,-66.1034,44 CALLE RAFAEL LAZA
LOIZA VALLEY LIQUOR STORE,(787) 876-3810,18.3761,-65.9139,URB LOIZA VALLEY A-39 CALLE ORQUIDEA
COLMADO LA MILAGROSA,(787) 898-4791,18.4667,-66.8435,RAMAL CARR  119 KM 5.6 BO  PUENTE SECTOR SALSA
COLMADO CAFETIN LOS AMIGOS,(787) 859-3744,18.2616,-66.3307,CARR  802 KM  0.7 BO PALMARITO
FARMACIA VARGAS INC.,(787) 782-6129,18.4066,-66.0756,1000 JESUS T  PINERO PUERTO NUEVO
